j_C,f_D,Re_C,Re_H,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout
0.1256,0.4507,2.3583e+03,2.7737e+03,25.4767,17.6126,1.8087e+03,31.7072
0.1315,0.4507,2.3575e+03,2.7722e+03,25.4528,17.7301,1.8093e+03,31.8442
0.1377,0.4507,2.3567e+03,2.7708e+03,25.4205,17.8424,1.8097e+03,31.9759
0.1442,0.4507,2.3559e+03,2.7694e+03,25.3922,17.9493,1.8101e+03,32.1018
0.1510,0.4507,2.3552e+03,2.7681e+03,25.3576,18.0514,1.8104e+03,32.2227
0.1581,0.4507,2.3545e+03,2.7668e+03,25.3266,18.1483,1.8106e+03,32.3382
0.1656,0.4507,2.3538e+03,2.7655e+03,25.2986,18.2409,1.8109e+03,32.4489
0.1734,0.4507,2.3531e+03,2.7643e+03,25.2717,18.3289,1.8112e+03,32.5547
0.1815,0.4507,2.3524e+03,2.7631e+03,25.2504,18.4124,1.8115e+03,32.6557
0.1901,0.4507,2.3518e+03,2.7620e+03,25.2135,18.4925,1.8115e+03,32.7532
0.1991,0.4507,2.3512e+03,2.7609e+03,25.1713,18.5689,1.8113e+03,32.8468
0.2084,0.4507,2.3505e+03,2.7599e+03,25.1285,18.6418,1.8111e+03,32.9365
0.2183,0.4507,2.3499e+03,2.7588e+03,25.0900,18.7112,1.8109e+03,33.0223
0.2285,0.4507,2.3493e+03,2.7578e+03,25.0546,18.7772,1.8108e+03,33.1042
0.2393,0.4507,2.3488e+03,2.7569e+03,25.0143,18.8402,1.8105e+03,33.1829
0.2506,0.4507,2.3482e+03,2.7559e+03,24.9787,18.9001,1.8103e+03,33.2579
0.2624,0.4507,2.3477e+03,2.7550e+03,24.9472,18.9571,1.8102e+03,33.3296
0.2748,0.4507,2.3471e+03,2.7541e+03,24.9146,19.0115,1.8100e+03,33.3984
0.2877,0.4507,2.3466e+03,2.7532e+03,24.8843,19.0632,1.8099e+03,33.4640
0.3013,0.4507,2.3461e+03,2.7524e+03,24.8551,19.1124,1.8097e+03,33.5268
0.3155,0.4507,2.3457e+03,2.7516e+03,24.8182,19.1595,1.8093e+03,33.5871
0.3303,0.4507,2.3452e+03,2.7509e+03,24.7750,19.2045,1.8088e+03,33.6451
0.3459,0.4507,2.3448e+03,2.7502e+03,24.7327,19.2474,1.8083e+03,33.7006
0.3622,0.4507,2.3444e+03,2.7494e+03,24.6884,19.2883,1.8077e+03,33.7539
0.3793,0.4507,2.3440e+03,2.7488e+03,24.6371,19.3275,1.8069e+03,33.8052
0.3972,0.4507,2.3435e+03,2.7481e+03,24.5910,19.3649,1.8062e+03,33.8541
0.4159,0.4507,2.3431e+03,2.7475e+03,24.5512,19.4003,1.8057e+03,33.9007
0.4355,0.4507,2.3427e+03,2.7468e+03,24.5136,19.4341,1.8051e+03,33.9452
0.4560,0.4507,2.3424e+03,2.7462e+03,24.4764,19.4662,1.8046e+03,33.9878
0.4775,0.4507,2.3420e+03,2.7456e+03,24.4439,19.4968,1.8041e+03,34.0284
0.5000,0.4507,2.3416e+03,2.7451e+03,24.4101,19.5261,1.8037e+03,34.0673
